dataset,mix_type,pitch_type,share,pitch_label
2025_holdout,Actual,FF,0.3192034248146166,4-seam fastball (FF)
2025_holdout,Actual,SI,0.15811100068802078,sinker (SI)
2025_holdout,Actual,CH,0.1189893739010779,changeup (CH)
2025_holdout,Actual,SL,0.11736488036082868,slider (SL)
2025_holdout,Actual,CU,0.0804028743979818,curveball (CU)
2025_holdout,Actual,FC,0.07711566394006575,cutter (FC)
2025_holdout,Actual,ST,0.0636992584664781,sweeper (ST)
2025_holdout,Actual,FS,0.03277654613561654,splitter (FS)
2025_holdout,Actual,KC,0.025724333002064063,knuckle curve (KC)
2025_holdout,Predicted,FF,0.5071095481996789,4-seam fastball (FF)
2025_holdout,Predicted,SI,0.18341487653849095,sinker (SI)
2025_holdout,Predicted,CH,0.07577784573044874,changeup (CH)
2025_holdout,Predicted,SL,0.06761715465178503,slider (SL)
2025_holdout,Predicted,ST,0.04357465025609663,sweeper (ST)
2025_holdout,Predicted,FC,0.039350967051448665,cutter (FC)
2025_holdout,Predicted,FS,0.03157250974696124,splitter (FS)
2025_holdout,Predicted,CU,0.03107560584053207,curveball (CU)
2025_holdout,Predicted,KC,0.015442244476721963,knuckle curve (KC)
2026_to_date,Actual,FF,0.2982669356602902,4-seam fastball (FF)
2026_to_date,Actual,SI,0.16129894752193674,sinker (SI)
2026_to_date,Actual,CH,0.11917551833936949,changeup (CH)
2026_to_date,Actual,SL,0.11085048977905253,slider (SL)
2026_to_date,Actual,FC,0.09260834690454778,cutter (FC)
2026_to_date,Actual,CU,0.07655380277581975,curveball (CU)
2026_to_date,Actual,ST,0.06747526798084635,sweeper (ST)
2026_to_date,Actual,FS,0.0407501033032741,splitter (FS)
2026_to_date,Actual,KC,0.030273935976276707,knuckle curve (KC)
2026_to_date,Predicted,FF,0.5092972946695511,4-seam fastball (FF)
2026_to_date,Predicted,SI,0.17364672710920978,sinker (SI)
2026_to_date,Predicted,CH,0.07274981162344134,changeup (CH)
2026_to_date,Predicted,SL,0.07037991298218323,slider (SL)
2026_to_date,Predicted,ST,0.04627986679954303,sweeper (ST)
2026_to_date,Predicted,FC,0.042743248827204004,cutter (FC)
2026_to_date,Predicted,FS,0.03357964074767264,splitter (FS)
2026_to_date,Predicted,CU,0.031379888675530494,curveball (CU)
2026_to_date,Predicted,KC,0.01628545732967113,knuckle curve (KC)
