model,dataset,rows,exact_accuracy,top2_accuracy,top3_accuracy,macro_f1,avg_probability_actual_pitch,avg_model_confidence,log_loss,source_file,alpha,min_count,state_spec,arsenal_masked,model_label
stacked_hgb_xgb_state_arsenal_masked,2025_holdout,52324,0.4414035624187753,0.7068840302729149,0.8620709425884872,0.2880670300958167,0.3511078392198026,0.5271749013360721,1.4113833220902194,stacked_exact/tables/stacked_current_game_model_comparison.csv,,,,,Stacked HGB + XGB + state + arsenal
stacked_hgb_xgb_state,2025_holdout,52324,0.4414035624187753,0.7069031419616237,0.8616122620594756,0.2880662197618309,0.3339810043581432,0.5015300654151776,1.398641670220251,stacked_exact/tables/stacked_current_game_model_comparison.csv,,,,,Stacked HGB + XGB + state
hgb_recency_matchup_arsenal_masked,2025_holdout,52324,0.4363007415335219,0.6997553703845272,0.8604273373595291,0.2821353721000413,0.3247215272928508,0.4457008601604418,1.387890887883714,paper_ready/tables/recency_booster_model_comparison.csv,,,,,HGB recency/matchup + arsenal
hgb_current_game_recent_start,2025_holdout,52324,0.4356891674948398,0.7029279107101903,0.863618989373901,0.2848702823276096,0.3261830165587073,0.4441690588569572,1.3221764848154127,stacked_exact/tables/stacked_current_game_model_comparison.csv,,,,,HGB current-game/recent-start
hgb_current_features_arsenal_masked,2025_holdout,52324,0.4329561960094794,0.6982073235991132,0.8547893891904289,0.2797393038442274,0.3195193157128004,0.4399080624556045,1.394353708504488,paper_ready/tables/recency_booster_model_comparison.csv,,,,,HGB current + arsenal
xgboost_current_game_recent_start,2025_holdout,52324,0.4314272609127743,0.6990482379023011,0.8601788854063145,0.2634914416994541,0.3165755320576587,0.4270147242913217,1.3244440418409906,stacked_exact/tables/stacked_current_game_model_comparison.csv,,,,,XGBoost current-game/recent-start
state_machine_pitcher_count_prev_stand_arsenal_masked,2025_holdout,52324,0.4229225594373519,0.6816948245546977,0.8422903447748643,0.2581001102517743,0.3060713338725482,0.4248730191159457,1.426194359530992,stacked_exact/tables/stacked_current_game_model_comparison.csv,,,,,State machine + arsenal
stacked_hgb_xgb_state,2026_to_date,82282,0.4038550351231132,0.6636931528159257,0.8211151892272915,0.2535365016242484,0.3071858914851227,0.4804765871694877,1.5089671438561951,stacked_exact/tables/stacked_current_game_model_comparison.csv,,,,,Stacked HGB + XGB + state
stacked_hgb_xgb_state_arsenal_masked,2026_to_date,82282,0.4038307284703823,0.6631340998031161,0.8189762037869764,0.2535093787096277,0.3229188394692053,0.5078407111099956,2.4610491754898027,stacked_exact/tables/stacked_current_game_model_comparison.csv,,,,,Stacked HGB + XGB + state + arsenal
xgboost_current_game_recent_start,2026_to_date,82282,0.4003305704771396,0.666208891373569,0.8306555504241511,0.2313063408960056,0.2949851124673822,0.4056007922509395,1.4031083446085584,stacked_exact/tables/stacked_current_game_model_comparison.csv,,,,,XGBoost current-game/recent-start
hgb_current_game_recent_start,2026_to_date,82282,0.3973530055176101,0.6627816533385188,0.8290513113439149,0.2431763175256188,0.300219029221291,0.4258152753466895,1.4320257562824394,stacked_exact/tables/stacked_current_game_model_comparison.csv,,,,,HGB current-game/recent-start
hgb_current_features_arsenal_masked,2026_to_date,82282,0.3905106827738752,0.6422425317809485,0.8014632604943973,0.2280778867829888,0.2950772902834438,0.4352485030510212,2.4681689862531124,paper_ready/tables/recency_booster_model_comparison.csv,,,,,HGB current + arsenal
hgb_recency_matchup_arsenal_masked,2026_to_date,82282,0.3855035123113196,0.6392528134950536,0.8051821783622177,0.2337567265883517,0.2947862963478084,0.438335343634304,2.4799279980062248,paper_ready/tables/recency_booster_model_comparison.csv,,,,,HGB recency/matchup + arsenal
state_machine_pitcher_count_prev_stand_arsenal_masked,2026_to_date,82282,0.3741036921805498,0.6215211103278967,0.7836829440217787,0.2249129050415541,0.2811405703038014,0.42317838938405,2.512610065534872,stacked_exact/tables/stacked_current_game_model_comparison.csv,,,,,State machine + arsenal
