pitcher,batter,count,previous_pitch,previous_result,actual_pitch,actual_pitch_label,actual_description,likely_pitch,likely_pitch_label,likely_pitch_probability,recommended_pitch,recommended_pitch_label,recommended_pitcher_run_value,recommended_whiff_or_weak_prob,top_likely_pitches,top_recommended_pitches,pair_pitch_count_in_sample
Clay Holmes,Matt Olson,3-2,SL,ball,SL,slider (SL),hit_into_play,SI,sinker (SI),0.337856909244034,FC,cutter (FC),0.08478353299140004,0.37215517321226566,"sinker (SI) 33.8%, sweeper (ST) 29.2%, slider (SL) 18.6%","cutter (FC): RV +0.085, W/W 37.2%; changeup (CH): RV +0.084, W/W 37.4%; sweeper (ST): RV +0.084, W/W 37.2%",53
Yoshinobu Yamamoto,Corbin Carroll,1-2,SL,swinging_strike,FS,splitter (FS),swinging_strike,FS,splitter (FS),0.8328236420846706,CU,curveball (CU),0.020566393551508317,0.3476096153514546,"splitter (FS) 83.3%, curveball (CU) 7.8%, 4-seam fastball (FF) 4.3%","curveball (CU): RV +0.021, W/W 34.8%; cutter (FC): RV +0.021, W/W 34.8%; 4-seam fastball (FF): RV +0.020, W/W 36.8%",46
Jake Irvin,Juan Soto,3-1,SI,ball,SI,sinker (SI),ball,SI,sinker (SI),0.5889858450065243,CH,changeup (CH),-0.1409236806979319,0.1279439078954224,"sinker (SI) 58.9%, curveball (CU) 13.5%, 4-seam fastball (FF) 10.1%","changeup (CH): RV -0.141, W/W 12.8%; slider (SL): RV -0.144, W/W 12.9%; curveball (CU): RV -0.144, W/W 12.7%",46
Freddy Peralta,Seiya Suzuki,0-2,SL,called_strike,FF,4-seam fastball (FF),hit_into_play,CS,CS (CS),0.9227514788895927,CH,changeup (CH),0.015610431869895827,0.3803883004938635,"CS (CS) 92.3%, slider (SL) 2.6%, curveball (CU) 2.0%","changeup (CH): RV +0.016, W/W 38.0%; curveball (CU): RV +0.016, W/W 37.2%; 4-seam fastball (FF): RV +0.015, W/W 37.1%",46
Garrett Crochet,Aaron Judge,3-2,SI,ball,ST,sweeper (ST),swinging_strike_blocked,ST,sweeper (ST),0.3896033411694642,ST,sweeper (ST),-0.09891274032324632,0.1466807863624344,"sweeper (ST) 39.0%, cutter (FC) 31.2%, sinker (SI) 15.1%","sweeper (ST): RV -0.099, W/W 14.7%; sinker (SI): RV -0.099, W/W 14.7%; changeup (CH): RV -0.099, W/W 14.0%",43
Jacob deGrom,Lawrence Butler,3-2,FF,foul,SL,slider (SL),ball,SL,slider (SL),0.345266572404868,CH,changeup (CH),-0.006122227432453251,0.2812668581088742,"slider (SL) 34.5%, 4-seam fastball (FF) 33.2%, changeup (CH) 20.1%","changeup (CH): RV -0.006, W/W 28.1%; curveball (CU): RV -0.013, W/W 27.6%; 4-seam fastball (FF): RV -0.013, W/W 27.1%",43
Michael Wacha,Dillon Dingler,3-2,CH,foul,CH,changeup (CH),called_strike,FC,cutter (FC),0.3268912729602389,CH,changeup (CH),-0.06775002496352936,0.18872589504098852,"cutter (FC) 32.7%, changeup (CH) 27.3%, sinker (SI) 14.3%","changeup (CH): RV -0.068, W/W 18.9%; curveball (CU): RV -0.078, W/W 19.9%; cutter (FC): RV -0.078, W/W 19.5%",43
Will Warren,Gunnar Henderson,1-0,FF,ball,CU,curveball (CU),hit_into_play,SI,sinker (SI),0.2502080557433042,ST,sweeper (ST),-0.025823675527977274,0.20374692060277635,"sinker (SI) 25.0%, 4-seam fastball (FF) 19.6%, sweeper (ST) 19.5%","sweeper (ST): RV -0.026, W/W 20.4%; changeup (CH): RV -0.031, W/W 31.0%; curveball (CU): RV -0.032, W/W 20.3%",42
Brady Singer,Lars Nootbaar,3-2,SI,foul,SL,slider (SL),ball,SI,sinker (SI),0.45981545752421116,FC,cutter (FC),-0.07630945735749681,0.30392007853719766,"sinker (SI) 46.0%, slider (SL) 24.1%, sweeper (ST) 14.9%","cutter (FC): RV -0.076, W/W 30.4%; sweeper (ST): RV -0.095, W/W 29.7%; 4-seam fastball (FF): RV -0.098, W/W 30.4%",42
Luis Severino,Cam Smith,0-2,FF,foul,SI,sinker (SI),called_strike,ST,sweeper (ST),0.6882372119588156,CH,changeup (CH),0.017349333680445857,0.43549921148765536,"sweeper (ST) 68.8%, cutter (FC) 9.2%, 4-seam fastball (FF) 6.8%","changeup (CH): RV +0.017, W/W 43.5%; sweeper (ST): RV +0.016, W/W 38.5%; cutter (FC): RV +0.016, W/W 40.1%",42
Chris Bassitt,Trent Grisham,0-2,CH,foul,FC,cutter (FC),foul_tip,CU,curveball (CU),0.3466337409333194,CH,changeup (CH),-0.02654656439327601,0.3768337345656787,"curveball (CU) 34.7%, sinker (SI) 16.2%, sweeper (ST) 14.6%","changeup (CH): RV -0.027, W/W 37.7%; cutter (FC): RV -0.028, W/W 36.2%; curveball (CU): RV -0.028, W/W 36.2%",41
Garrett Crochet,Paul Goldschmidt,3-2,SI,foul,SI,sinker (SI),hit_into_play,FC,cutter (FC),0.41318959797450805,ST,sweeper (ST),0.03716481428854211,0.3554415150821299,"cutter (FC) 41.3%, sweeper (ST) 28.3%, sinker (SI) 17.4%","sweeper (ST): RV +0.037, W/W 35.5%; changeup (CH): RV +0.032, W/W 40.1%; 4-seam fastball (FF): RV +0.027, W/W 35.9%",41
