,precision,recall,f1-score,support
CH,0.3277511961722488,0.2860584645036942,0.30548885077186966,6226.0
CS,0.04243394715772618,0.8548387096774194,0.08085430968726164,62.0
CU,0.261501976284585,0.3931542666983599,0.3140903911887581,4207.0
FC,0.2606272886483044,0.40580069410014874,0.3174018419777024,4034.0
FF,0.6566539923954373,0.10340079032451203,0.1786674943099524,16702.0
FS,0.26734732463603705,0.8244897959183674,0.4037692747001713,1715.0
KC,0.22129290817215544,0.9435364041604755,0.3585038814396613,1346.0
SI,0.4574233128834356,0.22531125347516015,0.3019112406867509,8273.0
SL,0.3302088472290742,0.32692933897753174,0.32856090976028796,6142.0
ST,0.2686279547790339,0.6273627362736274,0.37618062426913734,3333.0
SV,0.17597765363128492,0.9032258064516129,0.2945645821157218,279.0
accuracy,0.30105697738871157,0.30105697738871157,0.30105697738871157,0.30105697738871157
macro avg,0.29725876381721117,0.5358280236873555,0.2963630364461159,52319.0
weighted avg,0.4334057530089473,0.30105697738871157,0.277520694583561,52319.0
