model,dataset,rows,exact_accuracy,top2_accuracy,top3_accuracy,macro_f1,avg_probability_actual_pitch,avg_model_confidence,log_loss,alpha,min_count,state_spec,arsenal_masked,learning_rate,max_iter,max_leaf_nodes,l2_regularization
state:pitcher_count_prev_stand:arsenal_masked,2025_holdout,52324,0.4229225594373519,0.6816948245546977,0.8422903447748643,0.2581001102517743,0.3060713338725482,0.4248730191159457,1.426194359530992,1.0,5.0,pitcher_count_prev_stand,True,,,,
state:pitcher_count_prev_stand,2025_holdout,52324,0.4229225594373519,0.6814654842901919,0.8389840226282395,0.2581084788982952,0.2565848624043287,0.3559716014084285,1.551083924423041,1.0,5.0,pitcher_count_prev_stand,False,,,,
state:pitcher_count_prev_stand:arsenal_masked,2025_holdout,52324,0.420743826924547,0.6793631985322223,0.8395573732895039,0.2550172652185127,0.3073262299061173,0.4282267327181334,1.429496563169022,1.0,15.0,pitcher_count_prev_stand,True,,,,
state:pitcher_count_prev_stand,2025_holdout,52324,0.420743826924547,0.6793631985322223,0.838926687562113,0.2550172652185127,0.2669678030728484,0.3720757582511839,1.5106961478063872,1.0,15.0,pitcher_count_prev_stand,False,,,,
state:pitcher_batter_count_prev_stand:arsenal_masked,2025_holdout,52324,0.4108439721733812,0.6600221695589022,0.8185918507759345,0.2437891167207348,0.2956708698475522,0.418426763014628,1.4691466649557503,1.0,15.0,pitcher_batter_count_prev_stand,True,,,,
state:pitcher_batter_count_prev_stand,2025_holdout,52324,0.4108439721733812,0.6600221695589022,0.8183051754453023,0.2437891167207348,0.265532246800391,0.3761795849027235,1.5157556992724164,1.0,15.0,pitcher_batter_count_prev_stand,False,,,,
state:pitcher_batter_count_prev_stand,2025_holdout,52324,0.4095634890298907,0.6587225747267028,0.8156486507147772,0.2479002225641267,0.2544357653340626,0.3594751807849843,1.5605065737844577,1.0,5.0,pitcher_batter_count_prev_stand,False,,,,
state:pitcher_batter_count_prev_stand:arsenal_masked,2025_holdout,52324,0.4095443773411819,0.6587990214815381,0.8182096170017583,0.2478841104680654,0.2935653301533351,0.4143798932455156,1.4716581642096118,1.0,5.0,pitcher_batter_count_prev_stand,True,,,,
state:pitcher_count_prev_stand:arsenal_masked,2026_to_date,82282,0.3742130721178386,0.6192241316448311,0.7833791108626431,0.2234036782239488,0.2826948609222828,0.4262805840307913,2.51489536652397,1.0,15.0,pitcher_count_prev_stand,True,,,,
state:pitcher_count_prev_stand,2026_to_date,82282,0.3742130721178386,0.6191512116866387,0.7823096181424856,0.2234047180128548,0.246540525012427,0.3714648221452527,1.678637177734746,1.0,15.0,pitcher_count_prev_stand,False,,,,
state:pitcher_count_prev_stand:arsenal_masked,2026_to_date,82282,0.3741036921805498,0.6215211103278967,0.7836829440217787,0.2249129050415541,0.2811405703038014,0.42317838938405,2.512610065534872,1.0,5.0,pitcher_count_prev_stand,True,,,,
state:pitcher_count_prev_stand,2026_to_date,82282,0.3741036921805498,0.6211686638632994,0.78001263945942,0.2249080520624099,0.2361631078820055,0.3546355306847045,1.7176395524297994,1.0,5.0,pitcher_count_prev_stand,False,,,,
state:pitcher_batter_count_prev_stand:arsenal_masked,2026_to_date,82282,0.3676624292068739,0.6014073551931164,0.7674582533239348,0.2066051546791855,0.2721262923448654,0.4164951200664764,2.5446615789376947,1.0,15.0,pitcher_batter_count_prev_stand,True,,,,
state:pitcher_batter_count_prev_stand,2026_to_date,82282,0.3676624292068739,0.6013465885612892,0.7669599669429523,0.2066061581299958,0.2448776455584769,0.3747410458165799,1.6850665734671617,1.0,15.0,pitcher_batter_count_prev_stand,False,,,,
state:pitcher_batter_count_prev_stand:arsenal_masked,2026_to_date,82282,0.3659852701684451,0.5994142096691865,0.7649182081135607,0.2101974255285161,0.2701800565562377,0.4131820236615012,2.5463426225396155,1.0,5.0,pitcher_batter_count_prev_stand,True,,,,
state:pitcher_batter_count_prev_stand,2026_to_date,82282,0.3659731168420796,0.5991711431418779,0.7625240028195717,0.210166692263594,0.2354428922258723,0.359797056888101,1.719545706393643,1.0,5.0,pitcher_batter_count_prev_stand,False,,,,
pooled_hgb_tuned_4_arsenal_masked,2025_holdout,52324,0.4329561960094794,0.6982073235991132,0.8547893891904289,0.2797393038442274,0.3195193157128004,0.4399080624556045,1.394353708504488,,,,,0.08,160.0,31.0,0.05
pooled_hgb_tuned_4,2025_holdout,52324,0.4329561960094794,0.6981117651555692,0.8540822567082027,0.2797403131137614,0.3076585102633091,0.4236911512619658,1.3690711075733295,,,,,0.08,160.0,31.0,0.05
pooled_hgb_tuned_2_arsenal_masked,2025_holdout,52324,0.4327650791223912,0.6989909028361746,0.8553627398516933,0.2711906651094307,0.3191133274324319,0.439161101254311,1.3942492211188158,,,,,0.07,180.0,31.0,0.02
pooled_hgb_tuned_2,2025_holdout,52324,0.4327650791223912,0.6988571210152129,0.8545027138597967,0.2711916544666579,0.3070074504046081,0.4226416416593699,1.3698738947214362,,,,,0.07,180.0,31.0,0.02
pooled_hgb_tuned_3_arsenal_masked,2025_holdout,52324,0.4308921336289275,0.696678388502408,0.8540440333307852,0.2690623452015369,0.3159450371064921,0.4337538689096673,1.397540236485482,,,,,0.05,180.0,31.0,0.02
pooled_hgb_tuned_3,2025_holdout,52324,0.4308921336289275,0.6965637183701552,0.8531457839614708,0.2690623452015369,0.3019305972734828,0.4146857638053289,1.379314594298554,,,,,0.05,180.0,31.0,0.02
pooled_hgb_tuned_1_arsenal_masked,2025_holdout,52324,0.4288662946257931,0.6943276507912239,0.851999082638942,0.2664901838927646,0.3138070332718945,0.4320167345597788,1.4043274819869176,,,,,0.07,100.0,31.0,0.02
pooled_hgb_tuned_1,2025_holdout,52324,0.4288662946257931,0.6941556455928446,0.8506039293631985,0.2664911452449222,0.2984938463314362,0.4111446993644509,1.3903810503375158,,,,,0.07,100.0,31.0,0.02
pooled_hgb_tuned_4_arsenal_masked,2026_to_date,82282,0.3905106827738752,0.6422425317809485,0.8014632604943973,0.2280778867829888,0.2950772902834438,0.4352485030510212,2.4681689862531124,,,,,0.08,160.0,31.0,0.05
pooled_hgb_tuned_4,2026_to_date,82282,0.3904985294475098,0.6422425317809485,0.8012688072725505,0.2280749998385951,0.2845286053369454,0.418110932468445,1.5227534433787675,,,,,0.08,160.0,31.0,0.05
pooled_hgb_tuned_2,2026_to_date,82282,0.3892710434846017,0.6427286648355655,0.8020101601808415,0.2355925955337618,0.284088683866711,0.4170444523517436,1.5206221043850554,,,,,0.07,180.0,31.0,0.02
pooled_hgb_tuned_2_arsenal_masked,2026_to_date,82282,0.3892710434846017,0.6426800515301038,0.8019980068544761,0.2355937037289155,0.2947920903925166,0.4344606608232516,2.4663963995881644,,,,,0.07,180.0,31.0,0.02
pooled_hgb_tuned_3_arsenal_masked,2026_to_date,82282,0.3890522836100241,0.6425828249191804,0.8006611409542792,0.2342637422305654,0.2923136995050999,0.4285131660238272,2.466230048248117,,,,,0.05,180.0,31.0,0.02
pooled_hgb_tuned_3,2026_to_date,82282,0.3890401302836586,0.6425828249191804,0.8003573077951436,0.2342594783732415,0.2798795560672397,0.4084837948044787,1.5216086922681644,,,,,0.05,180.0,31.0,0.02
pooled_hgb_tuned_1_arsenal_masked,2026_to_date,82282,0.3876060377725383,0.6412459590189835,0.799287815074986,0.2319036344939023,0.2906015215066663,0.426387807493858,2.469631868298269,,,,,0.07,100.0,31.0,0.02
pooled_hgb_tuned_1,2026_to_date,82282,0.3875938844461729,0.6412702656717143,0.7988502953258306,0.2318993921964407,0.2770041710243923,0.4045168010622644,1.5258362627758395,,,,,0.07,100.0,31.0,0.02
