prev_pitch_type,CH,CU,FC,FF,FS,KC,SI,SL,ST
CH,0.26707936225171464,0.06960897835574953,0.07522045069920727,0.33080965529527034,0.0009797808853656365,0.013316112942014785,0.1210920103322348,0.08341498174044713,0.0384786674979959
CU,0.15609302325581395,0.19311627906976744,0.07733333333333334,0.31665116279069766,0.041550387596899226,0.0,0.12136434108527132,0.06592248062015504,0.027968992248062017
FC,0.12494218698381236,0.07974892632969938,0.19332672613148333,0.2267591674925669,0.03343244136108358,0.015130492236537826,0.1825569871159564,0.06105054509415263,0.08305252725470763
FF,0.12308431419649292,0.08125550484426296,0.06027704379854272,0.41172231563776124,0.03766514532788854,0.032316438465849945,0.0753463047481784,0.12473376571382817,0.05359916726719513
FS,0.005247622171203673,0.05526402099048869,0.07051492292554937,0.3368317481141358,0.34191538209248934,0.006395539521154477,0.08215808461790751,0.06526730075434568,0.036405378812725486
KC,0.07528995478671123,0.0,0.033221938274031845,0.35895419697267544,0.01552978179673678,0.25457047375663455,0.10005897385492432,0.14881069392569293,0.013563986632592884
SI,0.12221879392505743,0.06609756933731016,0.08879289656827453,0.16027289245431794,0.02406664609688368,0.018135692001782715,0.3220542356611471,0.1121053172889026,0.08625595666632384
SL,0.10984597731585684,0.045324153757888695,0.02899510128425791,0.3103843947217441,0.025508627918266472,0.023301999205613662,0.1451520367183018,0.2869058652191182,0.024581843858952294
ST,0.09709596975303676,0.030810071595205536,0.06548145764620707,0.26626980934759875,0.022846110530126296,0.006757300297642989,0.19515726812002251,0.03796959214866061,0.2776124205614995
