model,dataset,rows,exact_accuracy,top2_accuracy,top3_accuracy,macro_f1,avg_probability_actual_pitch,avg_model_confidence,log_loss
stacked_hgb_xgb_state_arsenal_masked,2025_holdout,52324,0.4414035624187753,0.7068840302729149,0.8620709425884872,0.2880670300958167,0.3511078392198026,0.5271749013360721,1.4113833220902194
stacked_hgb_xgb_state,2025_holdout,52324,0.4414035624187753,0.7069031419616237,0.8616122620594756,0.28806621976183094,0.3339810043581432,0.5015300654151776,1.3986416702202513
hgb_current_game_recent_start,2025_holdout,52324,0.4356891674948398,0.7029279107101903,0.863618989373901,0.28487028232760964,0.32618301655870735,0.44416905885695723,1.3221764848154127
hgb_current_game_recent_start_arsenal_masked,2025_holdout,52324,0.43567005580613105,0.7028896873327727,0.8634469841755218,0.2848685799349129,0.32727140269252786,0.44592163659855744,1.380545083867294
xgboost_current_game_recent_start_arsenal_masked,2025_holdout,52324,0.43150370766760954,0.6990100145248834,0.8600451035853528,0.2635358225322395,0.317938044070904,0.42910281835168734,1.382696158087239
xgboost_current_game_recent_start,2025_holdout,52324,0.4314272609127743,0.6990482379023011,0.8601788854063145,0.26349144169945415,0.31657553205765876,0.42701472429132176,1.3244440418409906
state_machine_pitcher_count_prev_stand_arsenal_masked,2025_holdout,52324,0.4229225594373519,0.6816948245546977,0.8422903447748643,0.2581001102517743,0.30607133387254826,0.4248730191159457,1.426194359530992
state_machine_pitcher_count_prev_stand,2025_holdout,52324,0.4229225594373519,0.6814654842901919,0.8389840226282395,0.25810847889829525,0.2565848624043287,0.3559716014084285,1.551083924423041
stacked_hgb_xgb_state,2026_to_date,82282,0.4038550351231132,0.6636931528159257,0.8211151892272915,0.25353650162424846,0.30718589148512276,0.4804765871694877,1.5089671438561951
stacked_hgb_xgb_state_arsenal_masked,2026_to_date,82282,0.4038307284703823,0.6631340998031161,0.8189762037869764,0.25350937870962775,0.32291883946920535,0.5078407111099956,2.4610491754898027
xgboost_current_game_recent_start,2026_to_date,82282,0.4003305704771396,0.666208891373569,0.8306555504241511,0.23130634089600569,0.2949851124673822,0.40560079225093953,1.4031083446085584
xgboost_current_game_recent_start_arsenal_masked,2026_to_date,82282,0.40020903721348533,0.6648234121679104,0.8257820665516151,0.23130748316617572,0.2978082713148426,0.4151157783211825,2.4086961117893746
hgb_current_game_recent_start_arsenal_masked,2026_to_date,82282,0.3974502321285336,0.6616635473128996,0.8246031938941688,0.24322278816186588,0.3027843988938483,0.43463430192242947,2.4327249777644826
hgb_current_game_recent_start,2026_to_date,82282,0.39735300551761016,0.6627816533385188,0.8290513113439149,0.24317631752561888,0.300219029221291,0.42581527534668956,1.4320257562824394
state_machine_pitcher_count_prev_stand_arsenal_masked,2026_to_date,82282,0.37410369218054984,0.6215211103278967,0.7836829440217787,0.22491290504155417,0.28114057030380146,0.42317838938405006,2.512610065534872
state_machine_pitcher_count_prev_stand,2026_to_date,82282,0.37410369218054984,0.6211686638632994,0.78001263945942,0.22490805206240994,0.2361631078820055,0.3546355306847045,1.7176395524297994
