rank_by_arsenal_pitches,pitcher_id,pitcher_name,pitcher_name_raw,pitches
1,657277,Logan Webb,"Webb, Logan",3282
2,607074,Carlos Rodón,"Rodón, Carlos",3084
3,608331,Max Fried,"Fried, Max",3057
4,592662,Robbie Ray,"Ray, Robbie",3055
5,579328,Yusei Kikuchi,"Kikuchi, Yusei",3054
6,668678,Zac Gallen,"Gallen, Zac",3053
7,642547,Freddy Peralta,"Peralta, Freddy",3053
8,592332,Kevin Gausman,"Gausman, Kevin",3028
9,676979,Garrett Crochet,"Crochet, Garrett",3015
10,666200,Jesús Luzardo,"Luzardo, Jesús",3013
11,622491,Luis Castillo,"Castillo, Luis",2988
12,676440,Tanner Bibee,"Bibee, Tanner",2969
13,663623,Jake Irvin,"Irvin, Jake",2944
14,668909,Gavin Williams,"Williams, Gavin",2923
15,686613,Hunter Brown,"Brown, Hunter",2920
16,694297,Brandon Pfaadt,"Pfaadt, Brandon",2918
17,656302,Dylan Cease,"Cease, Dylan",2899
18,650911,Cristopher Sánchez,"Sánchez, Cristopher",2896
19,645261,Sandy Alcantara,"Alcantara, Sandy",2891
20,664285,Framber Valdez,"Valdez, Framber",2886
21,656605,Mitch Keller,"Keller, Mitch",2867
22,663903,Brady Singer,"Singer, Brady",2850
23,605488,Jeffrey Springs,"Springs, Jeffrey",2847
24,518876,Merrill Kelly,"Kelly, Merrill",2833
25,694973,Paul Skenes,"Skenes, Paul",2829
26,669022,MacKenzie Gore,"Gore, MacKenzie",2818
27,701542,Will Warren,"Warren, Will",2802
28,657746,Joe Ryan,"Ryan, Joe",2794
29,641793,Zack Littell,"Littell, Zack",2788
30,667755,José Soriano,"Soriano, José",2774
31,601713,Nick Pivetta,"Pivetta, Nick",2767
32,669373,Tarik Skubal,"Skubal, Tarik",2767
33,605280,Clay Holmes,"Holmes, Clay",2764
34,571510,Matthew Boyd,"Boyd, Matthew",2746
35,622663,Luis Severino,"Severino, Luis",2731
36,669467,Andre Pallante,"Pallante, Andre",2717
37,693433,Bryan Woo,"Woo, Bryan",2714
38,656427,Jack Flaherty,"Flaherty, Jack",2714
39,808967,Yoshinobu Yamamoto,"Yamamoto, Yoshinobu",2711
40,680730,Mitchell Parker,"Parker, Mitchell",2705
41,671106,Logan Allen,"Allen, Logan",2705
42,656849,David Peterson,"Peterson, David",2699
43,678394,Brayan Bello,"Bello, Brayan",2697
44,665152,Dean Kremer,"Kremer, Dean",2689
45,543243,Sonny Gray,"Gray, Sonny",2673
46,608379,Michael Wacha,"Wacha, Michael",2665
47,669358,Shane Baz,"Baz, Shane",2636
48,434378,Justin Verlander,"Verlander, Justin",2598
49,621244,José Berríos,"Berríos, José",2583
50,683004,Jack Leiter,"Leiter, Jack",2583
51,607259,Nick Martinez,"Martinez, Nick",2577
52,543294,Kyle Hendricks,"Hendricks, Kyle",2571
53,608372,Tomoyuki Sugano,"Sugano, Tomoyuki",2565
54,671096,Andrew Abbott,"Abbott, Andrew",2562
55,450203,Charlie Morton,"Morton, Charlie",2548
56,605135,Chris Bassitt,"Bassitt, Chris",2541
57,686752,Ryan Pepiot,"Pepiot, Ryan",2539
58,607067,Colin Rea,"Rea, Colin",2533
59,693821,Bryce Elder,"Elder, Bryce",2514
60,663978,Chris Paddack,"Paddack, Chris",2507
61,571578,Patrick Corbin,"Corbin, Patrick",2504
62,607536,Kyle Freeland,"Freeland, Kyle",2482
63,594798,Jacob deGrom,"deGrom, Jacob",2481
64,666157,Nick Lodolo,"Lodolo, Nick",2478
65,593958,Eduardo Rodriguez,"Rodriguez, Eduardo",2467
66,682990,Quinn Priester,"Priester, Quinn",2431
67,681343,Shane Smith,"Smith, Shane",2416
68,571945,Miles Mikolas,"Mikolas, Miles",2409
69,669194,Ryne Nelson,"Nelson, Ryne",2396
70,554430,Zack Wheeler,"Wheeler, Zack",2394
71,669461,Matthew Liberatore,"Liberatore, Matthew",2386
72,680732,Sean Burke,"Burke, Sean",2376
73,663554,Casey Mize,"Mize, Casey",2353
74,676664,JP Sears,"Sears, JP",2350
75,607200,Erick Fedde,"Fedde, Erick",2348
76,624133,Ranger Suarez,"Suarez, Ranger",2330
77,607625,Seth Lugo,"Lugo, Seth",2319
78,547179,Michael Lorenzen,"Lorenzen, Michael",2318
79,608337,Lucas Giolito,"Giolito, Lucas",2285
80,671737,Taj Bradley,"Bradley, Taj",2272
81,665795,Edward Cabrera,"Cabrera, Edward",2252
82,622608,Antonio Senzatela,"Senzatela, Antonio",2230
83,641927,Bailey Ober,"Ober, Bailey",2198
84,621111,Walker Buehler,"Buehler, Walker",2189
85,500779,Jose Quintana,"Quintana, Jose",2174
86,542881,Tyler Anderson,"Anderson, Tyler",2167
87,702070,Noah Cameron,"Cameron, Noah",2164
88,669160,Dustin May,"May, Dustin",2151
89,669302,Logan Gilbert,"Gilbert, Logan",2135
90,695418,Brad Lord,"Lord, Brad",2124
91,681190,Randy Vásquez,"Vásquez, Randy",2102
92,684007,Shota Imanaga,"Imanaga, Shota",2101
93,571760,Andrew Heaney,"Heaney, Andrew",2082
94,656876,Drew Rasmussen,"Rasmussen, Drew",2075
95,592836,Taijuan Walker,"Walker, Taijuan",2061
96,663436,Davis Martin,"Martin, Davis",2057
97,608566,Germán Márquez,"Márquez, Germán",2036
98,675911,Spencer Strider,"Strider, Spencer",2013
99,615698,Cal Quantrill,"Quantrill, Cal",1998
100,677944,Slade Cecconi,"Cecconi, Slade",1996
